user_id,event_type,event_id,ts
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-d7e81cb8454344c261de78c310ca5e53,2023-12-22 15:12:20.347000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-7a48f63fcaf5b379a7455e822ab619c6,2023-12-22 15:12:19.880000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-8b9e3807b43e9fd76184b42eaf87f423,2023-12-22 15:12:19.163000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-dd708b896d4d6f58a825af0c3a14b0e3,2023-12-22 15:12:18.678000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-c2f34b082f324622d98a02cbd1c5ddb5,2023-12-22 15:12:17.710000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-9a0e726d23a4e311d645e2eaa59596fc,2023-12-22 15:12:17.078000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-e0420aa4423215548d800ef3bf455247,2023-12-22 12:30:43.420000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-73d58bb78dba260a6712d239e4dbe6a3,2023-12-22 12:30:25.331000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-f1debed1f17dcb65f7c8d8d12560b977,2023-12-22 12:30:21.417000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-cf9683ca215c0aae5c68e43a51b9b128,2023-12-22 12:30:18.214000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-b28d3acc028c9bf3cb10a20f7d657b90,2023-12-22 12:22:44.256000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-ab9eb8209b0fde14088f75b8d7e50459,2023-12-22 22:22:34.923000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-d6dd4d6fd015cf62f91799c25de6c29a,2023-12-22 16:07:17.623000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-284f683f21d3efe01295e6e0a6a9ce4d,2023-12-22 16:06:56.408000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-0960a3dd2fb8027b22a0ddd984af76fd,2023-12-22 16:06:54.925000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-11b331a6f6133aade03e74fb7beb95bc,2023-12-22 23:02:56.682000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Page,ajs-next-cabdc3ed7cc0a876db37bfe381326394,2023-12-22 12:35:15.740000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Pop-up Email Viewed,ajs-next-32f25e9cc2a0293559b1aeebb68acd4c,2023-12-22 02:18:41.235000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Pop-up Email Viewed,ajs-next-b425ecbb68cd1cc1309893bdad132e98,2023-12-22 02:14:12.760000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-c023952785232a3aedd81ace3a8ab248,2023-12-22 15:12:20.907000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-5b22461c8510594909ded214c1816374,2023-12-22 15:12:19.523000
d2876433-8da4-4e4a-9ea6-a5a72e6a96bf,Product Viewed,ajs-next-7713f0d7f058eb8822d0268e3c36e7ed,2023-12-22 15:12:19.910000
