timestamp,id,funnel_id,total_price,without_discount_price,variant_item_1,variant_item_2,variant_item_3,variant_item_4,variant_item_5
2024-03-05 03:09:21.434000,ajs-next-85ac7b118210abe241b359deb7273563,60,42.66,null,SHE-HWS-55021-ML-CHT,,,,
2024-02-16 22:05:28.868000,ajs-next-0bcff4c9bd40cfbb4df36c0948b19e2a,71,54.989999999999995,null,SMNT-FS-22423-S-OCN,TRU-SPB-10022-S-BLK,TRU-SPB-10022-M-BLK,,
2024-01-28 07:43:16.584000,ajs-next-d9e983c8d972d1e2b1565ef973b8bf57,63,36,null,SHE-SNC-62001-S-BLK,,,,
2024-04-11 00:30:59.353000,ajs-next-a6891befd045aed5e10d1a916f01a4e7,609,34.99,null,TRU-LAB3-10210-L-BLK,,,,
2024-02-05 22:10:35.908000,ajs-next-01e96f496ff6001fc6ea64200ea24e80,49,35.8,null,SHE-SNC-62001-XXL-RST,SHE-SNC-62001-XXL-BLK,,,
2024-01-14 20:58:17.449000,ajs-next-bacbbc92d2403e94dcc4355f6e7a09e5,63,33.06,null,SHE-SNC-62001-S-BLK,,,,
2024-03-20 20:35:04.462000,ajs-next-7563a4abbb508a188a2dd767e706918c,66,63.96,null,TRU-SB-91404-4XL-BLK,TRU-RSB-97097-4XL-BLK/WHT,EMP-HWC-42024-3XL-BLK,,
2024-04-01 13:50:21.787000,ajs-next-44414fc4e72209baf877ec2fa8ff5bff,71,45,null,TRU-SPB-10022-S-BLK,,,,
2024-03-07 16:06:47.988000,ajs-next-356b519a3bdf123ac98c8cc99a338822,71,54.99,null,TRU-SPB-10022-S-RST,,,,
2024-03-13 14:51:06.658000,ajs-next-7c9f431e7011aefed3b3330cf6cce5d3,71,54.99,null,TRU-SPB-10022-S-BLK,,,,
2024-04-11 12:38:52.009000,ajs-next-b8155374fe439eec7b48c6403ad132fb,303,124.97,null,TRU-LAB-10210-3XL-BGE,TRU-LAB-10210-3XL-BLK,TRU-AWS-51401-3XL-BLK,TRU-AWS-51401-3XL-CHAI,SHE-SP-54008-XXXXL-BLK
2024-03-28 17:50:29.533000,ajs-next-ee24e561c9dd1fb439f253dc16f3bb50,573,34.99,null,TRU-LAB3-10210-L-BLK,,,,
